⺂	乛
⺄	乙
⺆	冂
⺈	刀
⺊	卜
⺌	小
⺎	兀
⺒	巳
⺓	幺
⺗	心
⺛	旡
⺟	母
⺧	牛
⺩	玉
⺬	示
⺮	竹
⺻	聿
⺼	肉
⺽	臼
⻄	西
⻆	角
⻊	足
⻕	阜
⻗	雨
⻘	青
⻝	食
⻞	食
⻟	食
⻣	骨
⻤	鬼
⼀	一
⼁	丨
⼃	丿
⼄	乙
⼅	亅
⼆	二
⼇	亠
⼈	人
⼊	入
⼋	八
⼌	冂
⼑	刀
⼒	力
⼔	匕
⼕	匚
⼖	匸
⼗	十
⼘	卜
⼜	又
⼝	口
⼟	土
⼠	士
⼢	夊
⼣	夕
⼤	大
⼦	子
⼧	宀
⼨	寸
⼩	小
⼭	山
⼯	工
⼰	己
⼱	巾
⼳	幺
⼷	弋
⼸	弓
⼺	彡
⼻	彳
⼼	心
⼽	戈
⼿	手
⽀	支
⽂	文
⽄	斤
⽅	方
⽇	日
⽈	曰
⽊	木
⽋	欠
⽍	歹
⽎	殳
⽏	毋
⽐	比
⽑	毛
⽒	氏
⽔	水
⽕	火
⽖	爪
⽘	爻
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽞	玄
⽟	玉
⽠	瓜
⽡	瓦
⽢	甘
⽣	生
⽤	用
⽧	疒
⽨	癶
⽩	白
⽪	皮
⽫	皿
⽬	目
⽭	矛
⽯	石
⽰	示
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
⽸	缶
⽻	羽
⽼	老
⽾	耒
⽿	耳
⾀	聿
⾁	肉
⾂	臣
⾃	自
⾄	至
⾅	臼
⾆	舌
⾇	舛
⾈	舟
⾉	艮
⾊	色
⾌	虍
⾎	血
⾏	行
⾐	衣
⾓	角
⾔	言
⾖	豆
⾗	豕
⾘	豸
⾚	赤
⾛	走
⾜	足
⾝	身
⾟	辛
⾡	辵
⾣	酉
⾥	里
⾦	金
⾩	阜
⾬	雨
⾭	青
⾮	非
⾯	面
⾰	革
⾲	韭
⾳	音
⾷	食
⾸	首
⾹	香
⾻	骨
⾼	高
⾽	髟
⿀	鬲
⿁	鬼
⿅	鹿
⿇	麻
⿉	黍
⿊	黑
⿋	黹
⿍	鼎
⿎	鼓
⿏	鼠
⿐	鼻
⿕	龠
〇	星
㇏	乀
㐀	丘
㐂	喜
