⺀	⿱丶丶
⺈	〾刀
⺊	〾卜
⺌	〾小
⺝	⿵冂二
⺸	⿱艹干
⺻	〾聿
〢	⿰丨丨
リ	⿰丨丿
㐀	〾丘
㐂	⿱七⿰七七
㐇	⿱九乙
㐈	⿱入乙
㐉	⿱丁乙
㐊	⿱士乙
㐋	⿱土乙
㐍	⿱爫乙
㐎	⿱文乙
㐏	⿱五乙
㐐	⿱⿰女又乙
㐑	⿱⿱夂冫乙
㐒	⿱⿱刀口乙
㐓	⿱⿹丅口乙
㐔	⿳亠口乙
㐖	⿰⿱士口乚
㐗	⿱老乙
㐘	⿱米乙
㐙	⿱豆乙
㐚	⿱⿱五口乙
㐛	⿱⿰亻⿸⿻丿一口乙
㐜	⿰⿺⿻一氺丶九
㐝	⿱⿰扌⿹勹口乙
㐞	⿱⿱⿴龷二八乙
㐟	⿱非乙
㐠	⿱⿰⿱爫子乚乙
㐡	⿺九⿱而大
㐢	⿱⿰氵⿱爫子乙
㐣	⿸⿸广車乙
㐤	⿺九⿱⿱十⿴⿱冂一三八
㐦	⿱⿱與⿻二丨乙
㐧	⿻⿰⿱丶丿亅乛
㐨	⿰⿱龴⿱乛亅⿱龴⿱乛亅
㐩	⿰井井
㐪	〾亥
㐬	⿱𠫓〾川
㐭	⿱亠⿴囗口
㐮	⿳六⿻龷一⿸匚𡿨
㐯	⿳亠⿱口口香
㐰	⿰亻口
㐲	⿰亻大
㐳	〾兀
㐴	⿰亻夕
㐵	⿰亻⿱一⿻亅一
㐶	⿰亻巳
㐷	⿰亻马
㐸	〾欠
㐹	⿰亻气
㐺	⿰从人
㐻	⿰亻⿻冂人
㐼	⿰亻⿱丿廾
㐽	⿰亻风
㐾	⿰亻⿱二儿
㐿	⿰亻手
㑀	⿰亻⿵大丶
㑁	⿰亻⿱屮凵
㑂	⿰亻丙
㑃	⿰亻⿰幺力
㑄	⿰亻母
㑅	⿰亻⿱⿰丿一上
㑆	⿰亻⿱口儿
㑇	⿰亻⿱𠂊彐
㑉	⿰亻⿵几歹
㑊	⿰亻⿱亠⿰丿小
㑌	⿰亻⿷匚王
㑍	⿰亻耒
㑎	⿰亻⿱巛山
㑏	⿰亻⿱宀寸
㑐	⿰亻⿱上小
㑑	⿰亻自
㑒	⿱亼⿻口人
㑓	⿰亻〾夋
㑔	⿰亻页
㑕	⿰亻⿱山夕
㑖	⿰亻⿰亻中
㑗	⿰亻身
㑘	⿰亻⿹戈廾
㑙	⿰亻⿸耳乚
㑛	⿰亻⿻⿻十口人
㑜	⿰亻⿰扌斤
㑝	⿰亻⿱王廾
㑞	⿰亻⿱火廾
㑟	⿰亻⿱丘八
㑠	⿰亻⿱⿲丨丨又土
㑡	⿰亻⿰艮卩
㑢	⿰亻⿰⿱土厶卩
㑣	⿰亻⿰木木
㑤	⿰亻⿱艹田
㑥	⿰亻⿱日⿹勹⿱丿丿
㑦	⿰亻⿸户犬
㑧	⿰亻⿱禾子
㑨	⿰亻⿱口矢
㑩	⿰亻⿱罒夕
㑪	⿰亻⿵齐二
㑫	⿰亻⿱⿱⿱𠆢丶乛心
㑬	⿰亻⿰女⿱十口
㑭	⿰亻畀
㑮	⿰亻⿱冖車
㑯	⿰亻頁
㑰	⿰亻彖
㑱	⿰亻⿱矛木
㑲	⿰亻南
㑳	⿰亻⿱⿹勹屮⿹勹屮
㑴	⿰亻⿱⿳彐冖巾又
㑵	⿰亻⿸疒矢
㑶	⿰亻⿹气米
㑷	⿰亻⿰〾肙⿱匕匕
㑸	⿰亻⿱⿱十口⿹丅口
㑹	⿱亼⿱田日
