⺀	⿱丶丶
⺈	〾刀
⺊	〾卜
⺌	〾小
⺕	⿻コ一
⺝	⿵冂二
⺸	⿱艹干
⺻	〾聿
〢	⿰丨丨
㐀	〾丘
㐂	〾喜
㐇	⿱九乙
㐈	⿱入乙
㐉	⿱丁乙
㐊	⿱士乙
㐋	⿱土乙
㐌	⿱⿰丿一也
㐍	⿱爫乙
㐎	⿱文乙
㐏	⿱五乙
㐐	⿱奴乙
㐑	⿱冬乙
㐒	⿱召乙
㐓	⿱可乙
㐔	⿳亠口乙
㐕	⿱由乙
㐖	⿰吉乚
㐗	⿱老乙
㐘	⿱米乙
㐙	⿱豆乙
㐚	⿱吾乙
㐛	⿱佑乙
㐜	⿰求九
㐝	⿱拘乙
㐞	⿱其乙
㐟	⿱非乙
㐠	⿱乳乙
㐡	⿺九⿱而大
㐢	⿱浮乙
㐣	⿸庫乙
㐤	〾求
㐥	⿱鋤乙
㐦	⿱舉乙
㐧	〾第
㐨	⿰予予
㐩	⿰井井
㐪	〾亥
㐬	〾旒
㐭	〾廪
㐮	⿳六⿻龷一⿸匚𡿨
㐯	⿳亠吕香
㐰	⿰亻口
㐲	〾伏
㐳	〾兀
㐴	〾攀
㐵	⿰亻于
㐶	〾似
㐷	⿰亻马
㐸	〾欠
㐹	〾仡
㐺	⿰从人
㐻	⿰亻内
㐼	⿰亻升
㐽	⿰亻风
㐾	⿰亻元
㐿	⿰亻手
㑀	〾汰
㑁	⿰亻出
㑂	〾仿
㑃	〾拗
㑄	〾侮
㑅	⿰亻⿱⿰丿一上
㑆	⿰亻兄
㑇	⿰亻⿱𠂊彐
㑈	⿰亻东
㑉	⿰亻夙
㑊	⿰亻亦
㑋	⿰亻曲
㑌	⿰亻匡
㑍	⿰亻耒
㑎	⿰亻⿱巛山
㑏	⿰亻守
㑐	⿰亻尗
㑑	〾咱
㑒	⿱亼⿻口人
㑓	⿰亻〾夋
㑔	⿰亻页
㑕	⿰亻岁
㑖	〾仲
㑗	⿰亻身
㑘	⿰亻戒
㑙	⿰亻⿸耳乚
㑚	⿰亻那
㑛	⿰亻束
㑜	⿰亻折
㑝	⿰亻弄
㑞	〾媵
㑟	⿰亻兵
㑠	⿰亻坚
㑡	⿰亻即
㑢	⿰亻却
㑣	⿰亻林
㑤	⿰亻苗
㑥	〾易
㑦	〾戾
㑧	〾悸
㑨	〾侯
㑩	⿰亻罗
㑪	⿰亻斉
㑫	〾企
㑬	⿰亻姑
㑭	⿰亻畀
㑮	⿰亻軍
㑯	⿰亻頁
㑰	⿰亻彖
㑱	⿰亻柔
㑲	⿰亻南
㑳	⿰亻芻
㑴	〾侵
㑵	〾嫉
㑶	⿰亻氣
㑷	⿰亻能
㑸	⿰亻⿱古可
㑺	⿰亻隽
㑻	⿰亻密
㑼	⿰亻略
㑽	⿰亻堂
㑿	⿰亻巢
㒀	⿰亻啇
㒁	〾俣
㒂	⿰亻著
㒃	⿰亻貳
㒄	⿰亻然
㒅	⿰亻⿴衣多
㒆	⿰亻翕
㒇	⿰亻無
㒈	⿰亻敢
㒉	⿰亻棠
㒊	⿰亻⿱⿰刃刃〾歧
㒋	〾厮
㒌	⿰亻⿱⿱〾炎冖几
㒍	⿰亻絫
㒎	⿰亻⿱夭非
㒏	⿰亻寒
㒐	⿰亻筍
㒑	⿰亻匯
㒒	⿰亻業
㒓	⿰亻達
㒔	⿰亻蜀
㒕	⿰亻雍
㒖	〾藕
㒗	⿰亻⿳⿵艹二冖至
㒘	⿰亻竪
㒙	⿰亻綿
㒚	⿰亻⿱⿳爫工彐心
㒛	⿰亻翟
㒜	⿰亻與
